S.S.1	S.S.2	S.S.3	S.S.4	S.S.5
0	12	0	0	0
0	1	0	0	1
0	3	0	1	0
0	0	0	0	1
0	0	6	0	0
1	1	0	0	3
0	0	0	0	0
0	1	0	0	1
0	0	0	1	1
0	0	0	0	3
0	1	0	0	1
0	5	0	0	0
0	0	0	0	1
0	6	0	0	1
0	0	0	1	0
0	0	0	0	2
0	6	0	0	0
0	0	0	0	1
0	0	0	0	0
0	0	0	0	0
0	1	0	0	2
0	0	0	0	0
0	2	0	0	1
1	0	0	0	0
0	15	0	1	1
0	1	0	0	0
0	0	2	0	1
0	7	0	0	2
0	4	0	0	1
0	60	0	2	1
0	10	0	1	2
0	0	0	0	1
0	5	0	0	2
0	5	0	1	1
0	1	0	0	0
0	26	0	0	3
0	4	1	2	1
0	0	0	0	0
0	2	0	1	0
0	0	0	0	1
0	19	0	0	0
0	32	0	1	0
0	15	0	0	5
0	3	0	0	2
1	0	0	0	0
0	0	0	0	0
2	0	0	0	0
0	0	0	0	0
